model,file,accuracy,precision,recall,f1,tn,fp,fn,tp,total
ModernBERT-bio-large,synonym_results_coleop.csv,0.5,0.5,1.0,0.6666666666666666,0,273,0,273,546
ModernBERT-bio-large,synonym_results_lepo.csv,0.5,0.5,1.0,0.6666666666666666,0,1474,0,1474,2948
BiomedBERT,synonym_results_coleop.csv,0.5,0.5,1.0,0.6666666666666666,0,273,0,273,546
BiomedBERT,synonym_results_lepo.csv,0.5,0.5,1.0,0.6666666666666666,0,1474,0,1474,2948
gpt2-medium,synonym_results_coleop.csv,0.5,0.5,1.0,0.6666666666666666,0,273,0,273,546
gpt2-medium,synonym_results_lepo.csv,0.5,0.5,1.0,0.6666666666666666,0,1474,0,1474,2948
scibert_scivocab_uncased,synonym_results_coleop.csv,0.5567765567765568,0.53276955602537,0.9230769230769232,0.675603217158177,52,221,21,252,546
scibert_scivocab_uncased,synonym_results_lepo.csv,0.5868385345997287,0.5534223706176962,0.8995929443690638,0.6852713178294574,404,1070,148,1326,2948
bge-base-en-v1.5,synonym_results_coleop.csv,0.8424908424908425,0.965174129353234,0.7106227106227107,0.8185654008438819,266,7,79,194,546
bge-base-en-v1.5,synonym_results_lepo.csv,0.8385345997286295,0.9960238568588468,0.6797829036635007,0.8080645161290323,1470,4,472,1002,2948
all-mpnet-base-v2,synonym_results_coleop.csv,0.7197802197802198,0.9615384615384616,0.4578754578754578,0.6203473945409429,268,5,148,125,546
all-mpnet-base-v2,synonym_results_lepo.csv,0.6719810040705563,0.9903288201160542,0.3473541383989145,0.5143144148669011,1469,5,962,512,2948
bge-reranker-large,synonym_results_coleop.csv,0.5018315018315018,0.5009276437847866,0.989010989010989,0.6650246305418719,4,269,3,270,546
bge-reranker-large,synonym_results_lepo.csv,0.503731343283582,0.5018829168093119,0.994572591587517,0.6671217292377702,19,1455,8,1466,2948
bge-reranker-v2-m3,synonym_results_coleop.csv,0.5,0.5,1.0,0.6666666666666666,0,273,0,273,546
bge-reranker-v2-m3,synonym_results_lepo.csv,0.5,0.5,1.0,0.6666666666666666,0,1474,0,1474,2948
PatentSBERTa,synonym_results_coleop.csv,0.8076923076923077,0.9666666666666668,0.6373626373626373,0.7682119205298014,267,6,99,174,546
PatentSBERTa,synonym_results_lepo.csv,0.7964721845318861,0.9932279909706546,0.5970149253731343,0.7457627118644068,1468,6,594,880,2948
bge-reranker-base,synonym_results_coleop.csv,0.5274725274725275,0.5149105367793241,0.9487179487179488,0.6675257731958762,29,244,14,259,546
bge-reranker-base,synonym_results_lepo.csv,0.5128900949796472,0.5066948555320648,0.9755766621438264,0.6669758812615956,74,1400,36,1438,2948
S-BioBERT,synonym_results_coleop.csv,0.6465201465201466,0.9878048780487804,0.2967032967032967,0.4563380281690141,272,1,192,81,546
S-BioBERT,synonym_results_lepo.csv,0.6065128900949797,0.9968354430379748,0.2137042062415196,0.3519553072625698,1473,1,1159,315,2948
bge-large-zh-v1.5,synonym_results_coleop.csv,0.7435897435897436,0.9716312056737588,0.5018315018315018,0.6618357487922706,269,4,136,137,546
bge-large-zh-v1.5,synonym_results_lepo.csv,0.7405020352781547,0.99442119944212,0.4837177747625509,0.6508443633044272,1470,4,761,713,2948
sciNCL,synonym_results_coleop.csv,0.5073260073260073,0.503690036900369,1.0,0.6699386503067485,4,269,0,273,546
sciNCL,synonym_results_lepo.csv,0.5145861601085482,0.5074471770003464,0.9938941655359566,0.6718642513185049,52,1422,9,1465,2948
scibert_scivocab_cased,synonym_results_coleop.csv,0.5970695970695971,0.5562632696390658,0.9597069597069596,0.7043010752688172,64,209,11,262,546
scibert_scivocab_cased,synonym_results_lepo.csv,0.5970149253731343,0.5576612903225806,0.9382632293080054,0.6995447647951442,377,1097,91,1383,2948
bge-reranker-v2-gemma,synonym_results_coleop.csv,0.5,0.5,1.0,0.6666666666666666,0,273,0,273,546
bge-reranker-v2-gemma,synonym_results_lepo.csv,0.5,0.5,1.0,0.6666666666666666,0,1474,0,1474,2948
ModernBERT-large,synonym_results_coleop.csv,0.4981684981684982,0.499075785582255,0.989010989010989,0.6633906633906634,2,271,3,270,546
ModernBERT-large,synonym_results_lepo.csv,0.5006784260515604,0.5003394433129668,1.0,0.6669683257918552,2,1472,0,1474,2948
bge-large-en,synonym_results_coleop.csv,0.5036630036630036,0.5018382352941176,1.0,0.6682986536107711,2,271,0,273,546
bge-large-en,synonym_results_lepo.csv,0.5030529172320217,0.5015311330384484,1.0,0.6680262859732609,9,1465,0,1474,2948
all-MiniLM-L6-v2,synonym_results_coleop.csv,0.6556776556776557,0.9775280898876404,0.3186813186813186,0.4806629834254143,271,2,186,87,546
all-MiniLM-L6-v2,synonym_results_lepo.csv,0.621438263229308,0.994475138121547,0.2442333785617367,0.392156862745098,1472,2,1114,360,2948
e5-base-v2,synonym_results_coleop.csv,0.5,0.5,1.0,0.6666666666666666,0,273,0,273,546
e5-base-v2,synonym_results_lepo.csv,0.5,0.5,1.0,0.6666666666666666,0,1474,0,1474,2948
gpt2,synonym_results_coleop.csv,0.5,0.5,1.0,0.6666666666666666,0,273,0,273,546
gpt2,synonym_results_lepo.csv,0.5,0.5,1.0,0.6666666666666666,0,1474,0,1474,2948
llm-embedder,synonym_results_coleop.csv,0.5164835164835165,0.5084427767354597,0.9926739926739928,0.6724565756823822,11,262,2,271,546
llm-embedder,synonym_results_lepo.csv,0.5094979647218453,0.5048143053645117,0.9959294436906376,0.6700136923779096,34,1440,6,1468,2948
